"","Q3_B","Q4_B","Q5_B","Q6_B","Q7_B","Q8_C","Q9_C","Q10_D","Q11_D","Q12_D","Q13_D","Q14_D","Q15_D","Q16_D","Q17_E","Q18_E","Q19_E","Q20_E","Q21_E","Q22_E"
"72",3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,2,2,2
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,3,0,1,1,0,0,0,1,0,3,2,3,0,3,0,3,1,3,3
"75",2,2,2,2,2,2,2,0,0,2,1,2,3,2,3,2,3,2,3,2
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
"77",2,0,3,3,3,3,0,0,0,3,3,3,3,3,3,2,3,2,3,2
"78",2,1,1,0,1,1,1,1,2,2,2,0,3,2,2,1,1,1,0,2
"79",0,0,0,1,1,0,0,0,1,1,0,2,2,3,3,3,3,3,3,3
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0
"81",2,0,1,2,2,3,3,0,2,2,0,2,0,1,2,0,0,0,0,2
"82",0,0,0,1,1,3,3,0,0,0,0,0,1,1,0,0,2,0,2,3
"83",3,0,2,3,3,3,0,2,0,2,0,0,3,0,1,0,3,3,3,3
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",3,2,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0
"86",2,0,0,2,2,3,3,0,0,2,2,2,2,2,2,0,2,0,3,0
"87",1,0,1,1,1,2,2,0,0,1,1,0,2,2,2,1,2,0,2,0
"88",0,0,3,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
"89",0,0,0,1,2,1,1,0,0,0,1,0,2,1,1,1,1,0,0,0
"90",1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0
"91",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2,1,2,3,2,1,2,0,2,2,2,1,1,1,2,1,1,0,1,0
"94",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,2,2
"95",1,1,1,2,1,1,2,0,0,0,1,1,2,1,2,3,2,3,2,2
"96",0,0,0,1,1,1,1,1,0,0,3,3,3,3,3,3,3,0,3,2
"97",2,2,2,2,2,2,2,0,0,1,2,1,2,0,2,0,1,1,1,0
